system,tweet_id,text,draft_reply,decision,reason,annotator,groundedness,helpfulness,tone,safety,notes
main,2844619,@SpotifyCares hi! My Spotify keeps pausing in the middle of the song...help please? Thank you!,Hey there! Sorry to hear your music is pausing. Could you DM us your username and email address? We'll take a look backstage 🔍,ESCALATE,low_evidence,annotator_1,5,4,5,4,
trivial,620317,"@SpotifyCares Hey guys, you really should consider including release date of the songs, so it would be easier to sort by year. Making it much easier to create playlists from my songs based on decades. I think it would be really cool on Spotify for PC. ;)",Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,5,
main,1461612,@115888 why spotify can't pay with top up ?,"Hey there! We're afraid that paying via top-up is not possible at the moment, but we have different payment options available.",ESCALATE,low_evidence,annotator_1,4,3,4,4,
simple,2818879,@SpotifyCares is there a way to change my username on Spotify?? I can't find it in my user settings,"@334049 Right now. it's not possible to change usernames, here's more info about it: https://t.co/8fvibjSl2q. Hope this helps /DR",ESCALATE,low_evidence,annotator_1,4,3,4,4,
trivial,2913904,@115888 what's goin on with the app yo?,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,5,
main,2746339,"@SpotifyCares I’m still struggling with this. I’m on the most up to date version, and my phone’s iOS is also up to date - and yet music is regularly disappearing.","Hey! Sorry to hear the downloads are still disappearing despite your updates. Please try logging out and back in, or restarting your phone. If that doesn't work, let us know and we'll look into this further.",ESCALATE,low_evidence,annotator_1,2,3,5,3,
main,2915242,@SpotifyCares You really do care - not just a name 👏,We sure do. Feel free to send a tweet our way if you ever need any help with anything 🙂,AUTO_HANDLE,none,annotator_1,5,4,5,5,
simple,2954677,@SpotifyCares That’s great. Thanks for letting me know.,"@179081 Hi Lucy, help's here! Can you DM us your account's email address or username? We'll take a look backstage /GT https://t.co/ldFdZRiNAt",AUTO_HANDLE,none,annotator_1,2,2,4,3,
trivial,637758,@SpotifyCares @115888 @117168 you should make it possible for users to rearrange the order of songs in their playlists without having to delete the entire playlist. Make this happen please.,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,5,
trivial,1461612,@115888 why spotify can't pay with top up ?,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,4,
main,504291,"Would love to take advantage of the $99/year offer, but can't get it to work. Facing the issue on both desktop and mobile web. @SpotifyCares https://t.co/bmlujYn3pk",We're sorry the $99/year offer isn't working for you. We can help troubleshoot this. Please DM us your account's email address so we can take a look.,ESCALATE,billing_or_refund,annotator_1,5,4,5,4,
main,2916611,"@SpotifyCares Everything is back to normal. Thank you, have a great night and happy holidays!",Glad to hear everything is back to normal! Happy holidays! /GS,ESCALATE,low_evidence,annotator_1,5,3,5,3,
simple,2985574,"@SpotifyCares I cannot find the email address linked to my premium account and nor do I have the password, is there anything you could do?",@547725 Hey Jerome! Can you send us every possible username or email address you might've used for Spotify via DM? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,ESCALATE,privacy_or_sensitive_data,annotator_1,5,4,5,2,
main,2920672,"@117153 Spotify is down in Brazil. There's no error message, but i don't be able to play any music","Thanks for letting us know. Since there's no error message, please try restarting the app or logging out and back in to see if that helps. If the issue persists, please DM us a screenshot of what you're seeing so we can take a closer look.",ESCALATE,low_evidence,annotator_1,5,4,5,4,
trivial,2905912,Sooo I just made a spot if account and tried to get the 3 months for .99 and it charged me.. then said I already used Spotify premium when I just made the account but took the money off card and no premium @115888 @SpotifyCares,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,5,
main,2826162,"@SpotifyCares Hey my boyfriend is trying to redeem his invite to our premium family but can't, any idea why ?","Hi there! We're sorry your boyfriend is having trouble redeeming the invite. Could you try accessing the link in an incognito window or a different browser? If that doesn't work, please DM us your username and email address so we can take a closer look.",AUTO_HANDLE,none,annotator_1,4,4,5,4,
trivial,142990,6 ads in a row... seriously? @115888,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,5,
simple,492378,@131098 Ben benieuwd :-),@556729 @131098 Hi! We've just sent you a DM and hope you don't mind if we reply in English. Can you let us know what's happening exactly? /GK,AUTO_HANDLE,none,annotator_1,5,3,5,4,
main,506062,"@spotifycares is there any way I can share a link with someone to my playlist without it showing my old, embarrassing username ??","We understand the concern! Currently, it is not possible to change your username. You can share your playlist link, but it will display your current username. If you have further questions about your account, please DM us your account's email address so we can see what we can suggest.",ESCALATE,account_or_security_action,annotator_1,3,3,5,2,
trivial,688062,@115888 For some reason I can't stream on Extreme quality on mobile data,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,4,
simple,582201,@SpotifyCares answer em dm's,@420924 Hey Ali! We've just sent you a bit more info over DM. We'll carry on helping out there /CP,ESCALATE,low_evidence,annotator_1,5,3,5,4,
simple,142990,6 ads in a row... seriously? @115888,"@608903 Hey, thanks for your feedback - we'll pass it on. For now, check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /RB",ESCALATE,low_evidence,annotator_1,5,3,5,4,
simple,2908683,@117153 you down? Can’t search or do anything that’s not already downloaded. iPhone 6.,@770618 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,AUTO_HANDLE,none,annotator_1,2,2,4,2,
simple,123462,"I was trying to get premium and i couldnt get through. Tried it a couple of time though. Why @SpotifyCares ? 😭

Pls help 😥 https://t.co/U1jx6RrFDu","@525734 Help's here Mike! Could you tell us your exact make/model of phone, the version of Spotify it's running, and details of the Amazon Echo? /T",AUTO_HANDLE,none,annotator_1,1,1,4,1,
trivial,2970780,@115888 why does my iOS app keep randomly pausing and I have to restart it every time someone calls?!😭😖,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,5,
main,93960,@115888 are you guys having issues with random pausing? It’s seriously frustrating 😐,Hey! We're sorry to hear you're experiencing random pausing. Can you DM us your account's username or email address? We'll take a look backstage to help troubleshoot.,ESCALATE,low_evidence,annotator_1,5,3,5,4,
trivial,538069,"@SpotifyCares hello, I was trying to get the $1 deal from you guys and instead charged me $10 what’s with that? Thank you.",Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,5,
simple,2934749,@SpotifyCares Thanks 🙏,@723216 @147836 Hey! We've just sent a reply to your DM 💚 /I,ESCALATE,low_evidence,annotator_1,3,2,5,4,
trivial,2819564,"@SpotifyCares Thank you, well problem still not resolved for now..",Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,5,
main,2850062,@115888 Not true. I downloaded Spotify and theres no free songs to download. Just to let u know,"Hey! Thanks for the feedback. Downloading songs for offline use is a feature available to Premium subscribers. If you're on a free plan, you can stream music but won't be able to download it. Let us know if you have any other questions! /JN",ESCALATE,low_evidence,annotator_1,5,4,5,4,
trivial,72093,@115888 Varför kan man inte betala med iTunes? Jag har bara iTunes. Kan ni inte fixa det? Hade varit grymt! :-),Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,5,
main,118883,@SpotifyCares Just dm'd you,Thanks for reaching out! We've received your DM and will take a look under the hood to help you get back into your account. /JM,ESCALATE,account_or_security_action,annotator_2,5,4,5,5,
main,2970780,@115888 why does my iOS app keep randomly pausing and I have to restart it every time someone calls?!😭😖,"Hey! That sounds frustrating. Can you let us know your device, OS, and Spotify version? We'll see what we can suggest.",AUTO_HANDLE,none,annotator_2,5,5,5,5,
trivial,1426071,Thank you to the team @SpotifyCares to sort my problem out. Awesome customer service 👍#Spotify #spotifycares #CustomerService,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,2,4,5,
main,466029,"@SpotifyCares my account still on basic mode even I've paid for premium, what should i do?",Hey there! We're sorry to hear your account is still on Basic mode despite the payment. Please DM us your account's username or email address so we can look into this backstage 🔍,AUTO_HANDLE,none,annotator_2,2,4,4,2,
main,1842975,Hey @115888 @117168 how do I change my account from a regular account to a student account? I’ve been a student for about 4 months and I haven’t had any help with this.,Hi there! We're here to help. You can find all the information you need to know about the student discount here: https://t.co/rdZ9slIDDQ. Let us know if you have any questions!,AUTO_HANDLE,none,annotator_2,5,3,5,5,
simple,620317,"@SpotifyCares Hey guys, you really should consider including release date of the songs, so it would be easier to sort by year. Making it much easier to create playlists from my songs based on decades. I think it would be really cool on Spotify for PC. ;)",@579223 Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /JS,AUTO_HANDLE,none,annotator_2,5,3,5,5,
main,275230,"blocked from playing @115888 *premium* on my phone. yes im crazy, its because i wanna play classical music for my dog on my computer and keep him calm while im out. is this possible with a premium membership?",Hi! We understand you want to keep your dog calm while you're out. We can help clarify how to use Spotify on your computer and phone. Please DM us your account email so we can check your specific setup and suggest the best way to play music for your pet.,ESCALATE,low_evidence,annotator_2,1,2,3,3,
main,1666483,@SpotifyCares you charged me 9.99 for spotify when i am supposed to have the 4.99 student + hulu account wtf ? ? ?,Hey there! We're sorry to hear about the unexpected charge. Please DM us your account's email address so we can take a look under the hood and help resolve this for you.,ESCALATE,billing_or_refund,annotator_2,5,4,5,5,
simple,2913904,@115888 what's goin on with the app yo?,"@215152 Hi Lauren, help's here. Can you let us know the device/OS and Spotify version you're using? We'll see what we can suggest /NY",AUTO_HANDLE,none,annotator_2,5,4,5,5,
main,2913948,@SpotifyCares your app is down,"Hey there! Sorry to hear the app is down. Could you let us know your device, operating system, and Spotify version? We'll see what we can suggest.",AUTO_HANDLE,none,annotator_2,2,3,3,3,
main,113854,@115888 What about 99p a month for loyal customers who’ve been premium since Spotify started?,"Hey! Right now, this offer is for new subscribers only. Stay tuned for more deals for existing Premium subscribers, though 🙂",AUTO_HANDLE,none,annotator_2,5,4,5,5,
trivial,594068,"@116130 im trying to activate my student discount on @260711 but every time I do it asked me to enter my card details... but I already have a Spotify account, is this correct?",Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,3,4,5,
trivial,175483,@118266 halo saya mau daftar premium spotify pakai indosat kok gak nerima sms utk pinnya ya? udh saya tunggu &amp; cb berkali2 gak bisa. pdhl biasanya lancar aja. gmn solusinya? thanks 😀,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,3,4,5,
trivial,620439,"@SpotifyCares Is it possible to delete my debit card from spotify after i have payed for it, without canceling the order?",Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,4,2,4,5,
main,497758,HOW DO I BLOCK FRANKIE COSMOS FROM APPEARING IN MY DAILY MIXES @115888,"Hi! It isn't possible to block specific artists from appearing in Daily Mixes right now, but you can show your support for this idea here: https://t.co/oGDLtirXki",ESCALATE,low_evidence,annotator_2,5,4,5,4,
simple,2883054,"@SpotifyCares I see that in Android mobile and Windows PC.
When see Strauss autor can see Tchaikovsky song as most played, and song of a band named Strauss.",@626616 Hi there! Have you tried logging out &gt; restarting your computer &gt; then logging back in? A screenshot of the error message will be handy /CO,ESCALATE,low_evidence,annotator_2,4,3,4,4,
simple,412344,@SpotifyCares No it’s just it’s very misleading saying 30 mins ad free music and only getting through 3 songs,"@610679 Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /JN",ESCALATE,low_evidence,annotator_2,3,2,4,3,
simple,2784964,@SpotifyCares i was charged for regular premium even tho i should get the student discount and it looks like im on both pls..help https://t.co/ZGhnDDjaCO,@506851 Hey! Can you DM us your account's email address? We'll take a look backstage /K https://t.co/ldFdZRiNAt,ESCALATE,billing_or_refund,annotator_2,5,4,5,5,
simple,175483,@118266 halo saya mau daftar premium spotify pakai indosat kok gak nerima sms utk pinnya ya? udh saya tunggu &amp; cb berkali2 gak bisa. pdhl biasanya lancar aja. gmn solusinya? thanks 😀,"@304149 Hi there. We can help out in English via Twitter, but we also have Bahasa support via email at https://t.co/ZgU70TbP8M /JU",AUTO_HANDLE,none,annotator_2,5,4,4,2,
main,2844619,@SpotifyCares hi! My Spotify keeps pausing in the middle of the song...help please? Thank you!,Hey there! Sorry to hear your music is pausing. Could you DM us your username and email address? We'll take a look backstage 🔍,ESCALATE,low_evidence,annotator_2,5,4,5,4,
trivial,620317,"@SpotifyCares Hey guys, you really should consider including release date of the songs, so it would be easier to sort by year. Making it much easier to create playlists from my songs based on decades. I think it would be really cool on Spotify for PC. ;)",Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,2,4,5,
main,1461612,@115888 why spotify can't pay with top up ?,"Hey there! We're afraid that paying via top-up is not possible at the moment, but we have different payment options available.",ESCALATE,low_evidence,annotator_2,4,3,4,4,
simple,2818879,@SpotifyCares is there a way to change my username on Spotify?? I can't find it in my user settings,"@334049 Right now. it's not possible to change usernames, here's more info about it: https://t.co/8fvibjSl2q. Hope this helps /DR",ESCALATE,low_evidence,annotator_2,4,3,4,4,
trivial,2913904,@115888 what's goin on with the app yo?,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,2,4,5,
main,2746339,"@SpotifyCares I’m still struggling with this. I’m on the most up to date version, and my phone’s iOS is also up to date - and yet music is regularly disappearing.","Hey! Sorry to hear the downloads are still disappearing despite your updates. Please try logging out and back in, or restarting your phone. If that doesn't work, let us know and we'll look into this further.",ESCALATE,low_evidence,annotator_2,2,3,5,3,
main,2915242,@SpotifyCares You really do care - not just a name 👏,We sure do. Feel free to send a tweet our way if you ever need any help with anything 🙂,AUTO_HANDLE,none,annotator_2,5,4,5,5,
simple,2954677,@SpotifyCares That’s great. Thanks for letting me know.,"@179081 Hi Lucy, help's here! Can you DM us your account's email address or username? We'll take a look backstage /GT https://t.co/ldFdZRiNAt",AUTO_HANDLE,none,annotator_2,2,2,4,3,
trivial,637758,@SpotifyCares @115888 @117168 you should make it possible for users to rearrange the order of songs in their playlists without having to delete the entire playlist. Make this happen please.,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,2,4,5,
trivial,1461612,@115888 why spotify can't pay with top up ?,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,2,4,4,
main,504291,"Would love to take advantage of the $99/year offer, but can't get it to work. Facing the issue on both desktop and mobile web. @SpotifyCares https://t.co/bmlujYn3pk",We're sorry the $99/year offer isn't working for you. We can help troubleshoot this. Please DM us your account's email address so we can take a look.,ESCALATE,billing_or_refund,annotator_2,5,4,5,4,
main,2916611,"@SpotifyCares Everything is back to normal. Thank you, have a great night and happy holidays!",Glad to hear everything is back to normal! Happy holidays! /GS,ESCALATE,low_evidence,annotator_2,5,3,5,3,
simple,2985574,"@SpotifyCares I cannot find the email address linked to my premium account and nor do I have the password, is there anything you could do?",@547725 Hey Jerome! Can you send us every possible username or email address you might've used for Spotify via DM? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,ESCALATE,privacy_or_sensitive_data,annotator_2,5,4,5,2,
main,2920672,"@117153 Spotify is down in Brazil. There's no error message, but i don't be able to play any music","Thanks for letting us know. Since there's no error message, please try restarting the app or logging out and back in to see if that helps. If the issue persists, please DM us a screenshot of what you're seeing so we can take a closer look.",ESCALATE,low_evidence,annotator_2,5,4,5,4,
trivial,2905912,Sooo I just made a spot if account and tried to get the 3 months for .99 and it charged me.. then said I already used Spotify premium when I just made the account but took the money off card and no premium @115888 @SpotifyCares,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,2,4,5,
main,2826162,"@SpotifyCares Hey my boyfriend is trying to redeem his invite to our premium family but can't, any idea why ?","Hi there! We're sorry your boyfriend is having trouble redeeming the invite. Could you try accessing the link in an incognito window or a different browser? If that doesn't work, please DM us your username and email address so we can take a closer look.",AUTO_HANDLE,none,annotator_2,4,4,5,4,
trivial,142990,6 ads in a row... seriously? @115888,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,2,4,5,
simple,492378,@131098 Ben benieuwd :-),@556729 @131098 Hi! We've just sent you a DM and hope you don't mind if we reply in English. Can you let us know what's happening exactly? /GK,AUTO_HANDLE,none,annotator_2,5,3,5,4,
main,506062,"@spotifycares is there any way I can share a link with someone to my playlist without it showing my old, embarrassing username ??","We understand the concern! Currently, it is not possible to change your username. You can share your playlist link, but it will display your current username. If you have further questions about your account, please DM us your account's email address so we can see what we can suggest.",ESCALATE,account_or_security_action,annotator_2,3,3,5,2,
trivial,688062,@115888 For some reason I can't stream on Extreme quality on mobile data,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,2,4,4,
simple,582201,@SpotifyCares answer em dm's,@420924 Hey Ali! We've just sent you a bit more info over DM. We'll carry on helping out there /CP,ESCALATE,low_evidence,annotator_2,5,3,5,4,
simple,142990,6 ads in a row... seriously? @115888,"@608903 Hey, thanks for your feedback - we'll pass it on. For now, check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /RB",ESCALATE,low_evidence,annotator_2,5,3,5,4,
simple,2908683,@117153 you down? Can’t search or do anything that’s not already downloaded. iPhone 6.,@770618 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,AUTO_HANDLE,none,annotator_2,2,2,4,2,
simple,123462,"I was trying to get premium and i couldnt get through. Tried it a couple of time though. Why @SpotifyCares ? 😭

Pls help 😥 https://t.co/U1jx6RrFDu","@525734 Help's here Mike! Could you tell us your exact make/model of phone, the version of Spotify it's running, and details of the Amazon Echo? /T",AUTO_HANDLE,none,annotator_2,1,1,4,1,
trivial,2970780,@115888 why does my iOS app keep randomly pausing and I have to restart it every time someone calls?!😭😖,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,2,4,5,
main,93960,@115888 are you guys having issues with random pausing? It’s seriously frustrating 😐,Hey! We're sorry to hear you're experiencing random pausing. Can you DM us your account's username or email address? We'll take a look backstage to help troubleshoot.,ESCALATE,low_evidence,annotator_2,5,3,5,4,
trivial,538069,"@SpotifyCares hello, I was trying to get the $1 deal from you guys and instead charged me $10 what’s with that? Thank you.",Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,2,4,5,
simple,2934749,@SpotifyCares Thanks 🙏,@723216 @147836 Hey! We've just sent a reply to your DM 💚 /I,ESCALATE,low_evidence,annotator_2,3,2,5,4,
trivial,2819564,"@SpotifyCares Thank you, well problem still not resolved for now..",Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,2,4,5,
main,2850062,@115888 Not true. I downloaded Spotify and theres no free songs to download. Just to let u know,"Hey! Thanks for the feedback. Downloading songs for offline use is a feature available to Premium subscribers. If you're on a free plan, you can stream music but won't be able to download it. Let us know if you have any other questions! /JN",ESCALATE,low_evidence,annotator_2,5,4,5,4,
trivial,72093,@115888 Varför kan man inte betala med iTunes? Jag har bara iTunes. Kan ni inte fixa det? Hade varit grymt! :-),Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_2,5,2,4,5,
