tweet_id,thread_id,author_id,created_at,text,context_json,historical_reply,sampling_stratum,suggested_intent,suggested_intent_reason,suggested_escalate,suggested_escalation_reason,suggested_escalation_explanation,suggested_reply_should_include,suggested_reply_must_not_claim,suggested_by_model,intent,escalate,escalation_reason,reply_should_include,reply_must_not_claim,annotator_notes,annotation_method,human_verified
2872008,2872008,797427,Tue Nov 28 02:56:54 +0000 2017,"Hey @SpotifyCares is there any way I can fix the issues with my songs skipping? (Almost like a scratched CD.) 
I have updated the app &amp; also uninstalled &amp; reinstalled the app onto my phone, but nothing has worked.",[],"@797427 Hi there! Are you getting any specific error messages? Can you also let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /YM",representative,playback_connectivity,User reports song skipping issues.,false,none,Standard technical troubleshooting required.,Ask for device and OS details.,Guarantee immediate fix without info.,qwen/qwen3.6-27b,playback_connectivity,false,none,Ask for device and OS details.,Guarantee immediate fix without info.,Accepted Groq suggestion,ai_assisted_human_verified,true
2920672,2920672,808337,Tue Nov 28 21:36:52 +0000 2017,"@117153 Spotify is down in Brazil. There's no error message, but i don't be able to play any music",[],@808337 Hey Pedro! Everything should be running smoothly now. Let us know if this is still happening /CE,representative,playback_connectivity,User reports service outage in Brazil.,false,none,General service status inquiry.,Confirm service status or outage.,Blame user's internet connection.,qwen/qwen3.6-27b,playback_connectivity,false,none,Confirm service status or outage.,Blame user's internet connection.,Accepted Groq suggestion,ai_assisted_human_verified,true
2933223,2933223,811142,Wed Nov 29 08:21:02 +0000 2017,"@SpotifyCares I was randomly logged out, tried to log back in, password didn’t work. Tried to reset password says my accnt doesnt exist????",[],"@811142 Hey Katrina, help's here! Can you DM us your account's email address? We'll take a look backstage /JN https://t.co/ldFdZRiNAt",challenge_sensitive,account_access_security,User cannot log in or reset password.,true,account_or_security_action,Requires account verification and recovery.,Request email for account lookup.,Account is permanently deleted.,qwen/qwen3.6-27b,account_access_security,true,account_or_security_action,Request email for account lookup.,Account is permanently deleted.,Accepted Groq suggestion,ai_assisted_human_verified,true
502650,502650,235092,Fri Dec 01 18:19:02 +0000 2017,"@SpotifyCares I just signed up for the $99 year subscription, but this year's December individual payment has already been deducted from my bank account.  Will I get a refund for this month?",[],,challenge_sensitive,payments_refunds,User questions duplicate or early charge.,true,billing_or_refund,Requires billing investigation and potential refund.,Acknowledge charge inquiry and investigate.,Charge is incorrect without verification.,qwen/qwen3.6-27b,payments_refunds,true,billing_or_refund,Acknowledge charge inquiry and investigate.,Charge is incorrect without verification.,Accepted Groq suggestion,ai_assisted_human_verified,true
2968485,2968485,818862,Wed Nov 29 23:28:43 +0000 2017,@SpotifyCares I want to stop my monthly payments to you because I recently bought a car and I need to save my money for payments for that. Also I dislike how have I to air my problems this way.,[],"@818862 Hi Juliana, help's on the way! Could you DM us your email and username? We'll get things taken care of /JQ https://t.co/ldFdZRiNAt",representative,plan_management_eligibility,User wants to stop monthly payments.,false,none,Standard cancellation request.,Guide to cancel subscription settings.,Cancellation is impossible or restricted.,qwen/qwen3.6-27b,plan_management_eligibility,false,none,Guide to cancel subscription settings.,Cancellation is impossible or restricted.,Accepted Groq suggestion,ai_assisted_human_verified,true
165053,165053,154264,Fri Nov 24 19:08:08 +0000 2017,I’m trying to buy a subscription @115888 so I️ got charged 4 times but still can’t do anything on my app,[],@154264 Hey Issac! We've just replied to your DM. Let's continue chatting there /GT,challenge_sensitive,payments_refunds,User reports multiple charges and subscription issues.,true,billing_or_refund,Multiple charges require billing investigation.,Acknowledge charges and direct to DMs.,Refund guaranteed without review.,qwen/qwen3.6-27b,payments_refunds,true,billing_or_refund,Acknowledge charges and direct to DMs.,Refund guaranteed without review.,Accepted Groq suggestion,ai_assisted_human_verified,true
507445,507445,236484,Fri Dec 01 19:20:10 +0000 2017,"@SpotifyCares Hello, I signed up for a new account and my username is a bunch of random letters and numbers. Could you please help me set it to the username I want?",[],@236484 Hi Alexandru! Can you DM us with your account's username or email address? We'll see what we can suggest /WW https://t.co/ldFdZRiNAt,representative,account_access_security,User wants to change their username.,false,none,Standard account setting request.,Ask for username or email via DM.,Username change is instant.,qwen/qwen3.6-27b,account_access_security,false,none,Ask for username or email via DM.,Username change is instant.,Accepted Groq suggestion,ai_assisted_human_verified,true
466029,466029,225877,Fri Dec 01 03:16:57 +0000 2017,"@SpotifyCares my account still on basic mode even I've paid for premium, what should i do?",[],"@225877 Hey there! Don't worry, we're here to help. Can you DM us your account's email address or username? We'll take a look backstage /MT https://t.co/ldFdZRiNAt",representative,plan_management_eligibility,Paid for Premium but stuck on Basic.,true,billing_or_refund,Payment processed but plan not updated.,Request account details via DM.,Plan will update automatically soon.,qwen/qwen3.6-27b,plan_management_eligibility,true,billing_or_refund,Request account details via DM.,Plan will update automatically soon.,Accepted Groq suggestion,ai_assisted_human_verified,true
2928668,2928668,810215,Wed Nov 29 03:39:00 +0000 2017,"There really needs to be @115888 feature where you can add a specific part of a song, rather than the whole song, to a playlist.",[],"@810215 Hey Nick, this sounds like a great idea! Suggest it in our Community at https://t.co/CTw7YUdKl7 and get support from other users /CH",representative,feedback_other,Suggests adding partial songs to playlists.,false,none,"Feature request, no urgent action needed.",Direct to Community for suggestions.,Feature will be added soon.,qwen/qwen3.6-27b,feedback_other,false,none,Direct to Community for suggestions.,Feature will be added soon.,Accepted Groq suggestion,ai_assisted_human_verified,true
89548,89549,135369,Thu Nov 30 15:16:29 +0000 2017,@SpotifyCares I got chat and got it taken care of easily. Thanks for the support.,"[{""tweet_id"": ""89549"", ""author_id"": ""135369"", ""inbound"": true, ""text"": ""@spotifycares I think my account got hacked. But I can't contact you. Advise.""}, {""tweet_id"": ""89547"", ""author_id"": ""SpotifyCares"", ""inbound"": false, ""text"": ""@135369 Hey there! That doesn't sound good. Can you DM us your account's email address or username? We'll take a look backstage /PB https://t.co/ldFdZRiNAt""}]",@135369 Awesome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /PB,representative,feedback_other,User expresses thanks for resolved support.,false,none,"Positive feedback, issue already resolved.",Acknowledge thanks and offer future help.,No further action required.,qwen/qwen3.6-27b,feedback_other,false,none,Acknowledge thanks and offer future help.,No further action required.,Accepted Groq suggestion,ai_assisted_human_verified,true
1666483,1666483,507668,Sun Nov 26 02:22:30 +0000 2017,@SpotifyCares you charged me 9.99 for spotify when i am supposed to have the 4.99 student + hulu account wtf ? ? ?,[],@507668 Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage /RA https://t.co/ldFdZRiNAt,challenge_sensitive,payments_refunds,Billing dispute over incorrect charge amount,false,none,Standard billing inquiry handled via DM,Request account email for investigation,Guarantee immediate refund without verification,qwen/qwen3.6-27b,payments_refunds,true,billing_or_refund,Request account details for billing investigation.,Guarantee immediate refund without verification.,Incorrect charge amount requires billing investigation and may require account-specific support.,ai_assisted_human_verified,true
547202,547202,247283,Sat Dec 02 06:59:08 +0000 2017,@3493  you guys should update your app so we can clear recently played list faster instead one by one 😒😒 #lame https://t.co/b8sMgdzgL0,[],"@247283 We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /DF",representative,feedback_other,Feature request for app improvement,false,none,General feedback passed to product team,Acknowledge feedback and promise review,Promise specific feature implementation timeline,qwen/qwen3.6-27b,feedback_other,false,none,Acknowledge feedback and promise review,Promise specific feature implementation timeline,Accepted Groq suggestion,ai_assisted_human_verified,true
637758,637758,271222,Wed Nov 22 19:29:26 +0000 2017,@SpotifyCares @115888 @117168 you should make it possible for users to rearrange the order of songs in their playlists without having to delete the entire playlist. Make this happen please.,[],@271222 We hear you loud and clear! We can’t make any promises but we’ll pass your feedback onto the right folks /JX,representative,feedback_other,Feature request for playlist management,false,none,General feedback passed to product team,Acknowledge feedback and promise review,Promise immediate feature addition,qwen/qwen3.6-27b,feedback_other,false,none,Acknowledge feedback and promise review,Promise immediate feature addition,Accepted Groq suggestion,ai_assisted_human_verified,true
1461612,1461612,459222,Sat Nov 25 06:50:52 +0000 2017,@115888 why spotify can't pay with top up ?,[],"@459222 Hi! The 4990 MYR offer can only be purchased using payments that support automatic billing such as debit/credit cards and PayPal. If you'd like to pay through your mobile service provider, you could get the 3 months for 49990 MYR deal at https://t.co/08kG2GBNp5 /NY",challenge_short,payments_refunds,Inquiry about payment method options,false,none,Standard payment method clarification,List supported payment methods,Support unsupported payment methods like top-up,qwen/qwen3.6-27b,payments_refunds,false,none,List supported payment methods,Support unsupported payment methods like top-up,Accepted Groq suggestion,ai_assisted_human_verified,true
2746339,2746340,769068,Thu Nov 30 17:16:32 +0000 2017,"@SpotifyCares I’m still struggling with this. I’m on the most up to date version, and my phone’s iOS is also up to date - and yet music is regularly disappearing.","[{""tweet_id"": ""2746340"", ""author_id"": ""769068"", ""inbound"": true, ""text"": ""@115888 My files seem to randomly delete themselves - this has happened twice now, and causes me to lose all downloaded music. Any ideas?""}, {""tweet_id"": ""2746338"", ""author_id"": ""SpotifyCares"", ""inbound"": false, ""text"": ""@769068 Hey Dean! Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. Let us know how it goes /NH""}]",,representative,playback_connectivity,Issue with downloaded music disappearing,false,none,Technical issue with downloads addressed,Provide troubleshooting steps for downloads,Guarantee permanent fix without further info,qwen/qwen3.6-27b,playback_connectivity,false,none,Provide troubleshooting steps for downloads,Guarantee permanent fix without further info,Accepted Groq suggestion,ai_assisted_human_verified,true
613352,613352,265855,Wed Nov 22 08:47:05 +0000 2017,"@115888 I recently updated my account details to claim student discount, however I’m now being charged for Premium and the student price! Please can you help me! 😞",[],@265855 Hey Amy! Help's here. Could you DM us your account's username or email address? We'll take a look backstage /TM https://t.co/ldFdZRiNAt,challenge_sensitive,payments_refunds,User reports double charging for subscription.,true,billing_or_refund,Billing dispute requires manual review.,Request account details for investigation.,Guarantee immediate refund without review.,qwen/qwen3.6-27b,payments_refunds,true,billing_or_refund,Request account details for investigation.,Guarantee immediate refund without review.,Accepted Groq suggestion,ai_assisted_human_verified,true
2970780,2970780,819433,Thu Nov 30 00:43:41 +0000 2017,@115888 why does my iOS app keep randomly pausing and I have to restart it every time someone calls?!😭😖,[],"@819433 Hey Matt! That's not cool. Can you let us know what exact iPhone model, iOS, and Spotify versions you're using? We'll see what we can suggest /CH",challenge_rare,app_device_features,App crashes on incoming calls.,false,none,Standard troubleshooting for app behavior.,Ask for device and app versions.,Promise a fix without diagnostics.,qwen/qwen3.6-27b,app_device_features,false,none,Ask for device and app versions.,Promise a fix without diagnostics.,Accepted Groq suggestion,ai_assisted_human_verified,true
506029,506029,236083,Fri Dec 01 19:10:19 +0000 2017,when can i stream pitbulls greatest hits album ? @115888,[],"@236083 Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/1dgftcFtzc /VK",representative,content_availability_metadata,Inquiry about specific album availability.,false,none,General content availability question.,Link to content availability info.,Guarantee specific release date.,qwen/qwen3.6-27b,content_availability_metadata,false,none,Link to content availability info.,Guarantee specific release date.,Accepted Groq suggestion,ai_assisted_human_verified,true
1426071,1426071,451296,Sat Nov 25 16:43:49 +0000 2017,Thank you to the team @SpotifyCares to sort my problem out. Awesome customer service 👍#Spotify #spotifycares #CustomerService,[],"@451296 Aww, you made us blush! Glad to see everything worked out. If there's anything else we can help with, just say the word. Otherwise, have a... https://t.co/BsTYLlFHDH 😉 /MT",representative,feedback_other,Positive feedback on customer service.,false,none,No issue requiring resolution.,Thank user for positive feedback.,Promise future service improvements.,qwen/qwen3.6-27b,feedback_other,false,none,Thank user for positive feedback.,Promise future service improvements.,Accepted Groq suggestion,ai_assisted_human_verified,true
1101776,1101776,379971,Sat Nov 25 18:04:47 +0000 2017,Hey yall @115888 @117168 @SpotifyCares @118062 @47529 @47530 @118061 @379972 when will reputation the latest Taylor Swift album be released on Spotify before the new year hopefully cause it's been almost a month and still nothing see below https://t.co/MJKhsFZtRh,[],"@379971 Hey there, we’ll have it available to you as soon as it’s available to us! https://t.co/0i8GpimuDa /TB",representative,content_availability_metadata,Inquiry about album release date.,false,none,Standard content availability inquiry.,State availability depends on rights.,Promise specific release timeline.,qwen/qwen3.6-27b,content_availability_metadata,false,none,State availability depends on rights.,Promise specific release timeline.,Accepted Groq suggestion,ai_assisted_human_verified,true
571345,571345,254209,Sun Dec 03 02:44:31 +0000 2017,Why are there only like 2 #RBD songs on @115888 ??? 😭😭😭😭😭 I want all their music,[],"@254209 Hi there! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/1dgftcFtzc /NQ",representative,content_availability_metadata,User complains about missing artist songs.,false,none,Standard content availability inquiry.,Link to content availability info.,Guarantee specific song availability.,qwen/qwen3.6-27b,content_availability_metadata,false,none,Link to content availability info.,Guarantee specific song availability.,Accepted Groq suggestion,ai_assisted_human_verified,true
2826162,2826162,787267,Mon Nov 27 01:08:35 +0000 2017,"@SpotifyCares Hey my boyfriend is trying to redeem his invite to our premium family but can't, any idea why ?",[],"@787267 Hi Axelle, we've come to the rescue! Could you DM us the email addresses of you and your boyfriend's accounts? We'll take a look under the hood /RE https://t.co/ldFdZRiNAt",representative,plan_management_eligibility,Issue redeeming Family plan invite.,false,none,Requires account details via DM.,Request email addresses via DM.,Resolve issue without account info.,qwen/qwen3.6-27b,plan_management_eligibility,false,none,Request email addresses via DM.,Resolve issue without account info.,Accepted Groq suggestion,ai_assisted_human_verified,true
1630474,1630474,499042,Sun Nov 26 03:04:15 +0000 2017,Bad reputation isn't on @117168.... please fix it,[],"@499042 Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /RA",representative,content_availability_metadata,User reports missing specific track.,false,none,Standard missing content request.,Link to content availability info.,Promise immediate track restoration.,qwen/qwen3.6-27b,content_availability_metadata,false,none,Link to content availability info.,Promise immediate track restoration.,Accepted Groq suggestion,ai_assisted_human_verified,true
602849,602849,263161,Sun Dec 03 20:54:48 +0000 2017,@115888 where’s my “your top songs 2017” playlist???? Last year you released it on December 2,[],"@263161 Hi Renata! We're afraid we don't have any news on this, but keep your eyes peeled for more info in the coming weeks 👀 /NJ",representative,app_device_features,Inquiry about missing personalized playlist.,false,none,Feature availability question.,No news on release date.,Specific release date for playlist.,qwen/qwen3.6-27b,content_availability_metadata,false,none,none,Explain availability of the personalized playlist.,Promise a specific release date.,ai_assisted_human_verified,true
2916536,2916536,807268,Tue Nov 28 20:51:18 +0000 2017,I️ wish @115888 had an option to block a song so it wouldn’t come up after u listen to ur play list and it wouldn’t even be a suggestion,[],@807268 Hey Julia! We can see how that’d be useful. We’d recommend suggesting it in our Community where you can get support from other fans: https://t.co/WgY7GXI7jf. Keep on rocking 🤘 /JZ,representative,feedback_other,Feature request for blocking songs.,false,none,Standard feedback submission.,Link to Community feedback page.,Feature will be added soon.,qwen/qwen3.6-27b,feedback_other,false,none,Link to Community feedback page.,Feature will be added soon.,Accepted Groq suggestion,ai_assisted_human_verified,true
538069,538069,244745,Sat Dec 02 03:11:24 +0000 2017,"@SpotifyCares hello, I was trying to get the $1 deal from you guys and instead charged me $10 what’s with that? Thank you.",[],@244744 Hi there! We've just sent you a bit more info over DM. We'll carry on helping out there /AU,representative,payments_refunds,User disputes unexpected charge amount.,true,billing_or_refund,Billing dispute requires specialized review.,Acknowledge charge discrepancy and investigate.,Guarantee immediate refund without review.,qwen/qwen3.6-27b,payments_refunds,true,billing_or_refund,Acknowledge charge discrepancy and investigate.,Guarantee immediate refund without review.,Accepted Groq suggestion,ai_assisted_human_verified,true
2831204,2831204,788329,Mon Nov 27 12:48:50 +0000 2017,"hello @115888 @spotifycares, how to delete a connected fb account from spotify account?   
thank you",[],@788329 Hey there! Could you DM us your account's username or email address? We'll see what we can suggest /RE https://t.co/ldFdZRiNAt,representative,account_access_security,Request to disconnect linked social account.,false,none,Standard account setting modification request.,Guide to account settings for unlinking.,That unlinking is impossible or permanent.,qwen/qwen3.6-27b,account_access_security,false,none,Guide to account settings for unlinking.,That unlinking is impossible or permanent.,Accepted Groq suggestion,ai_assisted_human_verified,true
1822597,1822597,547144,Sun Nov 26 05:58:13 +0000 2017,Can't get premium. Send help @SpotifyCares,[],@547144 Hey! We've just replied to your DM. Let's carry on chatting there /KM,challenge_short,plan_management_eligibility,User unable to activate Premium subscription.,false,none,Common subscription activation issue.,Troubleshooting steps for Premium activation.,That Premium is unavailable to user.,qwen/qwen3.6-27b,plan_management_eligibility,false,none,Troubleshooting steps for Premium activation.,That Premium is unavailable to user.,Accepted Groq suggestion,ai_assisted_human_verified,true
2664000,2664000,750671,Sat Nov 25 15:32:06 +0000 2017,"@118266 itu promo 3 bulan 50k untuk yang baru daftar, apa pelanggan lama juga bisa pake promo itu?",[],"@750671 Hey! We can help out in English via Twitter, but we also have Bahasa support via email at https://t.co/ZgU70TbP8M /DF",representative,plan_management_eligibility,Inquiry about promo eligibility for existing users.,false,none,General policy question about promotions.,Clarify promo terms for existing users.,That all users are eligible for promos.,qwen/qwen3.6-27b,plan_management_eligibility,false,none,Clarify promo terms for existing users.,That all users are eligible for promos.,Accepted Groq suggestion,ai_assisted_human_verified,true
412344,412346,213385,Thu Nov 23 06:24:03 +0000 2017,@SpotifyCares No it’s just it’s very misleading saying 30 mins ad free music and only getting through 3 songs,"[{""tweet_id"": ""412346"", ""author_id"": ""213385"", ""inbound"": true, ""text"": ""@115888 so much for 30 minutes of ad free music when you only get 4 songs ( song around 3 mins) before a new ad. I’m going to take you to fucking court for misleading advertising so up your fucking game""}, {""tweet_id"": ""412345"", ""author_id"": ""SpotifyCares"", ""inbound"": false, ""text"": ""@213385 Hey there, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /GU""}]","@213385 Thanks for confirming. Just to check, were you able to watch the video ad in full after hearing the offer? /GK",challenge_followup,feedback_other,Complaint about misleading ad-free offer.,true,legal_abuse_or_safety,User threatens legal action for misleading ads.,Empathize and escalate to legal team.,That the advertising was not misleading.,qwen/qwen3.6-27b,feedback_other,true,legal_abuse_or_safety,Empathize and escalate to legal team.,That the advertising was not misleading.,Accepted Groq suggestion,ai_assisted_human_verified,true
2784964,2784964,777589,Sun Nov 26 23:58:28 +0000 2017,@SpotifyCares i was charged for regular premium even tho i should get the student discount and it looks like im on both pls..help https://t.co/ZGhnDDjaCO,[],"@777589 Hi there, that doesn't sound good! Can you DM us your account's email address? We'll take a look backstage /AK https://t.co/ldFdZRiNAt",challenge_sensitive,payments_refunds,User reports incorrect charge and billing dispute.,true,billing_or_refund,Requires investigation of charges and potential refund.,Request account email for billing review.,Guarantee immediate refund without verification.,qwen/qwen3.6-27b,payments_refunds,true,billing_or_refund,Request account email for billing review.,Guarantee immediate refund without verification.,Accepted Groq suggestion,ai_assisted_human_verified,true
2916664,2916664,807311,Tue Nov 28 20:50:44 +0000 2017,@115888 get ur shit together,[],@807311 Hey Dina! Everything should be running smoothly now. Let us know if you're still getting issues /GS,representative,feedback_other,Vague complaint without specific technical details.,false,none,"General frustration, no specific issue identified.",Ask for specific details about the issue.,Assume the issue is already resolved.,qwen/qwen3.6-27b,feedback_other,false,none,Ask for specific details about the issue.,Assume the issue is already resolved.,Accepted Groq suggestion,ai_assisted_human_verified,true
535329,535329,244024,Sat Dec 02 02:52:45 +0000 2017,@115888 I might cancel my premium I can’t access my account I got a new one I need to delete it if it’s not accable not happy no one has helped me I forgot my id pass word,[],@244024 Let's not throw in the towel just yet. We'd love to help out. Can you send us a DM? /MU https://t.co/ldFdZRiNAt,challenge_rare,account_access_security,User cannot access account and forgot credentials.,true,account_or_security_action,Requires account recovery and identity verification.,Guide user to account recovery process.,Access user account without proper verification.,qwen/qwen3.6-27b,account_access_security,true,account_or_security_action,Guide user to account recovery process.,Access user account without proper verification.,Accepted Groq suggestion,ai_assisted_human_verified,true
633976,633976,270287,Wed Nov 22 14:20:14 +0000 2017,@115888 will you please dm I need help with account,[],@270287 Hey! What's happening exactly? Can you DM us your account's email address? We'll take a look backstage /SJ https://t.co/ldFdZRiNAt,representative,account_access_security,User requests help with account access.,true,account_or_security_action,Needs direct assistance for account issues.,Request account email via DM.,Resolve issue without account details.,qwen/qwen3.6-27b,account_access_security,true,account_or_security_action,Request account email via DM.,Resolve issue without account details.,Accepted Groq suggestion,ai_assisted_human_verified,true
